epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6
0.13977428,0.22524863,0.08618893,0.06276719,0.16477634,0.07809735
0.14600241,0.22240305,0.09538813,0.69326764,0.18442625,0.17397809
0.11989287,0.18598844,0.2087984,0.37646532,0.13641487,0.120762706
0.26613468,0.26415354,0.1553666,0.092073575,0.115582876,0.12377466
0.27919674,0.23575012,0.14454944,0.26721418,0.19657472,0.17400305
0.34656808,0.12643674,0.08030963,0.20726165,0.16158825,0.12950438
0.3456201,0.13483827,0.59703517,0.15613286,0.13087422,0.28725684
0.25018632,0.21270481,0.16076559,0.1777535,0.21478237,0.24172455
0.12589271,0.15623651,0.2752739,0.197945,0.14198138,0.18329003
0.28503022,0.25559402,0.13415399,0.09651896,0.07987862,0.16398136
0.2703985,0.3804333,0.2534173,0.19652416,0.13765101,0.31536698
0.4281138,0.18225646,0.186531,0.16489325,0.13037783,0.101972565
3.719636,0.18777858,0.23888183,0.28090364,0.15285075,0.27324602
0.16991234,0.24296416,0.1147566,0.14756688,0.26480734,0.14591092
0.52866864,0.2767421,0.35860017,0.16852874,0.1124082,0.23025197
0.22699237,0.25799567,0.12181405,0.75619245,0.18008198,0.13667
0.33191538,0.16723186,0.09196002,0.1314115,0.2568035,0.14950387
0.32746217,0.21423334,0.20756286,0.16719472,0.21385989,0.18844086
0.16163994,0.21668313,0.07812397,0.13940914,0.12657951,0.110247225
0.17191397,0.2805373,0.38051343,0.19579221,0.37227732,0.16100213
0.106108695,0.16730386,0.21343662,0.14499699,0.20455608,0.08969207
0.11367677,0.26497927,0.19262873,0.15280682,0.23581399,0.13335808
0.15216593,0.122036524,1.9134816,0.26732594,0.11580944,0.13692783
0.3098985,0.25840867,0.17204666,0.33926848,0.7087624,0.15226935
0.13578176,0.17776689,0.16863877,0.18637896,0.21030457,0.3175303
0.12861003,0.1829962,0.21251611,0.25151694,0.13330191,0.17855611
0.29412737,0.60873294,0.88542074,0.124031104,0.07023095,0.10634842
